login_hour,day_of_week,session_duration,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded
10,0,768,1,1,1.0,0,1,5,1
10,6,74,1,1,1.0,0,0,4,3
10,2,1316,1,1,0.0,0,1,4,1
1,0,4,1,1,2.0,0,0,4,3
6,4,2497,1,1,0.0,0,1,5,1
6,6,1702,1,1,0.0,0,1,4,1
17,2,1397,1,1,0.0,0,1,5,2
16,3,3464,1,1,0.0,0,1,2,2
11,4,2158,1,1,0.0,0,0,0,0
21,0,337,1,1,0.0,0,0,2,2
15,4,347,1,1,0.0,0,1,2,1
23,0,1255,1,1,0.0,0,1,2,2
17,1,1808,1,1,0.0,0,1,2,2
8,5,2219,1,1,0.0,0,0,4,1
6,1,1748,1,1,0.0,0,0,2,1
23,3,2837,1,1,1.0,0,0,2,2
17,6,61,1,1,1.0,0,0,4,3
22,3,2861,1,1,0.0,0,1,4,2
23,0,2429,1,1,0.0,0,1,2,2
18,3,2918,1,1,0.0,0,0,5,2
16,0,2453,1,1,0.0,0,0,2,1
22,4,364,1,1,0.0,0,0,4,1
19,5,1174,1,1,0.0,0,1,4,1
11,5,280,1,1,1.0,0,0,4,4
22,3,1762,1,1,0.0,0,0,2,1
17,6,2895,1,1,0.0,0,1,5,1
11,3,870,1,1,0.0,0,0,5,2
19,2,1488,1,1,0.0,0,0,4,1
9,6,137,1,1,0.0,0,0,4,4
22,6,1835,1,1,0.0,0,1,5,2
7,4,3129,1,1,0.0,0,1,5,2
7,5,1113,1,1,0.0,0,0,4,1
20,2,2817,1,1,0.0,0,1,2,1
21,4,884,1,1,0.0,0,1,2,2
15,1,503,1,1,1.0,0,1,4,1
20,6,6067,1,1,0.0,0,0,5,2
14,5,2088,1,1,1.0,0,1,4,1
6,5,2126,1,1,0.0,0,0,4,1
20,2,2945,1,1,0.0,0,1,2,1
11,1,858,1,1,0.0,0,0,5,1
22,5,2061,1,1,0.0,0,0,5,2
10,6,758,1,1,0.0,0,1,5,1
5,4,520,1,1,0.0,0,1,4,2
10,2,2648,1,1,0.0,0,0,4,2
0,0,2669,1,1,0.0,0,1,2,2
4,4,403,1,1,0.0,0,1,5,2
23,6,3028,1,1,0.0,0,1,2,2
0,3,521,1,1,0.0,0,1,2,2
7,1,1582,1,1,0.0,0,0,2,1
22,3,882,1,1,0.0,0,1,2,1
4,4,2154,1,1,0.0,0,1,5,2
22,3,3013,1,1,1.0,0,1,5,1
21,6,345,1,1,0.0,0,1,4,1
4,6,2563,1,1,0.0,0,0,2,2
21,5,3263,1,1,0.0,0,1,4,2
6,5,2606,1,1,0.0,0,1,4,1
13,3,2282,1,1,0.0,0,1,2,2
15,1,2857,1,1,0.0,0,1,5,2
2,1,995,1,1,0.0,0,0,2,1
22,1,397,1,1,0.0,0,0,2,4
5,4,1149,1,1,0.0,0,0,2,2
10,4,1257,1,1,0.0,0,1,4,1
3,0,1631,1,1,0.0,0,1,2,1
12,4,3058,1,1,0.0,0,0,5,1
1,4,764,1,1,0.0,0,1,5,2
3,4,736,1,1,0.0,0,1,5,1
8,2,1724,1,1,0.0,0,0,2,2
4,1,2362,1,1,0.0,0,1,4,1
17,1,2821,1,1,0.0,0,1,4,1
19,3,2867,1,1,0.0,0,0,5,1
10,2,778,1,1,0.0,0,1,4,1
4,0,3098,1,1,0.0,0,0,5,1
16,0,562,1,1,0.0,0,1,5,2
19,4,3386,1,1,0.0,0,0,5,1
15,6,2561,1,1,1.0,0,0,4,1
16,6,866,1,1,0.0,0,1,2,1
5,3,3541,1,1,0.0,0,1,4,1
15,1,1151,1,1,0.0,0,0,4,2
4,5,595,1,1,0.0,0,1,5,2
2,4,3440,1,1,0.0,0,0,2,1
0,4,3055,1,1,0.0,0,1,2,2
0,3,1437,1,1,0.0,0,0,5,1
21,6,1039,1,1,0.0,0,1,5,2
10,1,1708,1,1,0.0,0,0,4,1
18,4,2162,1,1,0.0,0,1,2,2
18,3,2881,1,1,0.0,0,1,2,1
12,6,666,1,1,0.0,0,1,5,2
7,5,3432,1,1,0.0,0,1,5,1
11,0,3484,1,1,0.0,0,0,4,1
20,0,812,1,1,0.0,0,0,2,1
4,5,1781,1,1,0.0,0,0,4,1
18,1,518,1,1,0.0,0,0,5,2
20,6,626,1,1,0.0,0,0,5,1
20,1,3592,1,1,0.0,0,0,5,2
2,1,1677,1,1,1.0,0,1,5,1
12,6,15,1,1,1.0,0,0,4,1
10,4,2360,1,1,0.0,0,1,4,1
17,0,1646,1,1,0.0,0,1,4,1
8,0,1542,1,1,0.0,0,0,2,1
19,4,2726,1,1,0.0,0,1,4,2
5,0,669,1,1,0.0,0,1,5,1
14,2,4640,1,1,0.0,0,0,5,0
9,3,2216,1,1,0.0,0,1,2,2
2,0,3410,1,1,0.0,0,0,5,2
14,6,2077,1,1,0.0,0,1,4,1
8,1,2243,1,1,0.0,0,1,5,2
14,4,2588,1,1,0.0,0,1,4,1
16,1,3381,1,1,1.0,0,1,2,2
16,2,2883,1,1,0.0,0,0,4,2
20,5,1652,1,1,1.0,0,1,4,2
21,2,2389,1,1,0.0,0,1,2,2
7,6,2124,1,1,0.0,0,0,5,1
6,1,2684,1,1,0.0,0,0,4,1
13,6,1017,1,1,0.0,0,0,4,2
22,0,3592,1,1,0.0,0,0,5,1
4,0,2825,1,1,0.0,0,1,5,1
21,1,3576,1,1,0.0,0,1,4,1
3,4,980,1,1,0.0,0,1,2,1
15,4,2257,1,1,0.0,0,0,4,2
4,1,9,1,1,1.0,0,0,4,3
21,4,2694,1,1,0.0,0,1,4,1
18,5,1407,1,1,0.0,0,1,4,2
15,4,971,1,1,0.0,0,0,2,2
23,2,1467,1,1,0.0,0,0,2,2
6,1,1117,1,1,1.0,0,0,5,1
20,5,1770,1,1,0.0,0,0,4,2
18,4,2916,1,1,0.0,0,0,5,1
15,2,1595,1,1,1.0,0,1,4,2
7,6,2213,1,1,0.0,0,0,4,1
9,3,2686,1,1,0.0,0,0,5,3
0,6,3082,1,1,0.0,0,1,5,1
1,4,2047,1,1,0.0,0,1,2,2
21,1,787,1,1,0.0,0,1,5,2
17,0,1024,1,1,0.0,0,1,2,1
6,0,428,1,1,0.0,0,1,2,2
19,6,2194,1,1,0.0,0,0,4,2
20,3,1966,1,1,0.0,0,1,4,2
18,6,2526,1,1,1.0,0,0,4,2
19,4,2178,1,1,0.0,0,1,4,1
13,5,1569,1,1,0.0,0,0,4,1
3,0,1132,1,1,0.0,0,1,4,2
15,1,1512,1,1,0.0,0,0,5,1
11,6,1780,1,1,0.0,0,1,4,1
21,2,2743,1,1,0.0,0,1,2,2
20,4,2832,1,1,0.0,0,0,5,2
18,3,1659,1,1,0.0,0,0,2,2
6,4,1951,1,1,0.0,0,1,2,1
3,6,328,1,1,0.0,0,0,5,2
20,3,2183,1,1,0.0,0,1,2,2
12,2,1126,1,1,0.0,0,0,4,1
10,0,688,1,1,0.0,0,1,5,2
10,1,2465,1,1,0.0,0,0,4,1
7,0,3295,1,1,0.0,0,0,2,2
22,1,2105,1,1,0.0,0,1,5,2
11,5,770,1,1,0.0,0,1,4,2
3,0,2947,1,1,0.0,0,1,4,1
22,6,651,1,1,0.0,0,1,2,2
22,6,3430,1,1,0.0,0,1,2,1
11,0,3490,1,1,0.0,0,0,5,2
5,5,2174,1,1,0.0,0,0,5,1
5,6,1223,1,1,0.0,0,0,5,2
19,3,2097,1,1,0.0,0,0,2,1
6,0,2992,1,1,0.0,0,0,4,2
3,2,3418,1,1,0.0,0,1,4,2
6,6,943,1,1,0.0,0,1,5,2
9,1,666,1,1,1.0,0,0,4,1
22,4,3194,1,1,0.0,0,0,2,2
21,6,1088,1,1,1.0,0,1,4,2
8,2,310,1,1,0.0,0,1,5,1
13,6,2080,1,1,0.0,0,1,2,1
6,2,1344,1,1,0.0,0,1,2,1
4,0,2276,1,1,0.0,0,1,4,1
22,3,2363,1,1,0.0,0,0,4,2
5,3,2965,1,1,0.0,0,1,2,1
22,3,3171,1,1,0.0,0,1,4,2
15,0,1929,1,1,0.0,0,1,4,2
1,2,1088,1,1,0.0,0,1,2,2
22,1,637,1,1,0.0,0,1,2,2
0,6,1800,1,1,0.0,0,1,2,2
6,2,2748,1,1,1.0,0,1,2,1
0,4,672,1,1,0.0,0,1,2,1
10,3,1024,1,1,1.0,0,0,4,1
0,0,2294,1,1,0.0,0,0,2,2
9,6,2637,1,1,0.0,0,0,5,2
1,2,2644,1,1,0.0,0,1,4,2
18,0,1720,1,1,0.0,0,0,5,1
19,0,2603,1,1,0.0,0,1,2,2
6,2,2264,1,1,0.0,0,1,5,2
8,6,280,1,1,1.0,0,1,4,0
23,2,1735,1,1,0.0,0,0,4,2
3,2,714,1,1,0.0,0,1,2,1
7,2,1636,1,1,0.0,0,0,4,2
0,3,3582,1,1,0.0,0,0,4,2
12,1,1233,1,1,0.0,0,0,5,2
12,0,621,1,1,0.0,0,0,1,3
13,5,88292,1,1,0.0,0,0,6,1
9,6,968,1,1,0.0,0,1,4,2
17,2,973,1,1,1.0,0,0,5,1
5,6,2891,1,1,0.0,0,0,4,2
10,2,917,1,1,1.0,0,1,2,1
4,6,1862,1,1,0.0,0,1,2,2
7,5,2651,1,1,0.0,0,0,5,2
3,1,2940,1,1,1.0,0,1,2,1
17,2,672,1,1,1.0,0,1,5,2
20,6,2930,1,1,0.0,0,1,2,2
12,0,382,1,1,0.0,0,1,4,2
13,1,3424,1,1,0.0,0,1,5,2
16,1,2721,1,1,0.0,0,1,2,2
7,1,2716,1,1,1.0,0,0,2,2
19,5,467,1,1,0.0,0,1,2,1
12,0,1025,1,1,0.0,0,0,2,2
4,2,2506,1,1,1.0,0,1,5,2
12,1,580,1,1,0.0,0,0,5,1
8,6,3252,1,1,0.0,0,1,5,1
13,4,1515,1,1,0.0,0,1,5,2
7,1,2561,1,1,0.0,0,1,2,2
2,4,418,1,1,0.0,0,1,2,1
20,6,938,1,1,0.0,0,1,2,1
22,4,3400,1,1,1.0,0,1,2,1
20,2,2537,1,1,0.0,0,1,2,2
1,6,2906,1,1,0.0,0,0,2,1
5,5,2115,1,1,0.0,0,1,5,2
14,4,2889,1,1,0.0,0,1,5,1
8,5,1724,1,1,0.0,0,1,4,2
11,4,693,1,1,0.0,0,0,2,0
4,6,1096,1,1,0.0,0,1,2,1
16,2,1102,1,1,0.0,0,1,2,2
10,4,768,1,1,0.0,0,1,5,2
5,0,1034,1,1,0.0,0,0,2,2
0,3,1588,1,1,1.0,0,1,2,2
12,6,2129,1,1,0.0,0,1,4,2
15,6,3001,1,1,0.0,0,0,4,1
21,1,2085,1,1,0.0,0,0,2,1
10,3,1916,1,1,0.0,0,0,4,2
3,6,2187,1,1,0.0,0,0,5,2
1,0,2745,1,1,0.0,0,1,4,2
8,0,2012,1,1,0.0,0,1,2,2
0,6,731,1,1,0.0,0,1,4,1
9,2,3170,1,1,0.0,0,1,2,1
11,2,2653,1,1,0.0,0,0,5,1
13,3,2496,1,1,0.0,0,1,2,1
16,2,1225,1,1,0.0,0,1,4,1
14,2,418,1,1,0.0,0,1,2,1
7,1,1637,1,1,0.0,0,1,2,1
7,2,2754,1,1,0.0,0,1,2,1
17,3,1892,1,1,0.0,0,1,5,1
3,5,3487,1,1,0.0,0,0,5,1
7,6,1397,1,1,0.0,0,1,4,1
17,3,713,1,1,1.0,0,1,2,2
1,6,1402,1,1,0.0,0,1,2,2
19,5,1143,1,1,0.0,0,0,5,1
7,6,1071,1,1,0.0,0,1,2,1
6,4,549,1,1,0.0,0,0,4,1
6,1,3040,1,1,0.0,0,1,4,1
1,1,1873,1,1,0.0,0,1,5,1
5,4,1720,1,1,0.0,0,0,5,1
19,4,1141,1,1,0.0,0,1,5,1
14,4,522,1,1,0.0,0,0,5,1
20,3,2397,1,1,0.0,0,0,2,2
4,0,2118,1,1,0.0,0,0,5,1
11,0,1804,1,1,0.0,0,1,2,2
17,0,2212,1,1,0.0,0,0,2,1
10,4,1861,1,1,0.0,0,1,2,1
14,6,3079,1,1,0.0,0,1,4,2
0,1,851,1,1,0.0,0,1,4,2
7,3,2218,1,1,1.0,0,0,2,2
18,2,1479,1,1,1.0,0,1,2,1
2,2,3539,1,1,0.0,0,1,2,1
7,5,2078,1,1,0.0,0,0,4,1
20,4,1935,1,1,0.0,0,1,4,2
23,2,2931,1,1,0.0,0,0,5,1
1,1,2624,1,1,0.0,0,1,5,2
9,6,472,1,1,0.0,0,0,2,1
9,6,3257,1,1,0.0,0,1,2,2
5,4,513,1,1,0.0,0,0,2,1
16,5,712,1,1,0.0,0,1,4,2
3,6,1987,1,1,0.0,0,1,5,1
23,0,9,1,1,1.0,0,0,4,0
22,1,3102,1,1,0.0,0,1,2,1
20,3,1877,1,1,0.0,0,0,2,1
2,6,2502,1,1,0.0,0,1,4,1
13,5,3094,1,1,0.0,0,0,4,2
14,5,2638,1,1,0.0,0,1,5,2
1,3,1170,1,1,0.0,0,0,5,1
18,5,1205,1,1,0.0,0,1,4,2
15,4,3468,1,1,0.0,0,1,5,2
18,3,3117,1,1,0.0,0,1,2,2
16,5,1432,1,1,0.0,0,1,4,2
5,6,2267,1,1,0.0,0,1,2,1
5,2,300,1,1,0.0,0,0,2,2
21,1,544,1,1,0.0,0,1,2,2
7,0,2370,1,1,0.0,0,1,4,2
15,4,2086,1,1,0.0,0,1,5,1
19,6,1161,1,1,0.0,0,1,4,1
11,0,2288,1,1,0.0,0,1,4,2
9,3,3253,1,1,0.0,0,0,4,1
5,2,1386,1,1,0.0,0,1,2,1
12,5,453,1,1,0.0,0,0,4,0
22,5,1827,1,1,0.0,0,0,5,1
17,6,767,1,1,0.0,0,1,5,2
6,6,2976,1,1,0.0,0,0,2,1
11,3,1886,1,1,0.0,0,0,4,1
6,4,1761,1,1,0.0,0,0,2,1
0,6,1550,1,1,0.0,0,0,5,1
20,4,3432,1,1,0.0,0,1,4,2
13,1,572,1,1,0.0,0,0,4,2
17,3,3017,1,1,1.0,0,1,4,2
16,2,3003,1,1,0.0,0,0,5,1
12,4,1649,1,1,0.0,0,0,5,1
0,3,2366,1,1,0.0,0,0,2,2
18,3,3357,1,1,0.0,0,0,2,2
2,1,3035,1,1,0.0,0,1,2,1
21,3,479,1,1,0.0,0,0,2,2
3,3,2954,1,1,0.0,0,1,2,2
7,4,2786,1,1,0.0,0,1,4,2
10,4,2731,1,1,0.0,0,1,5,2
8,2,2617,1,1,0.0,0,1,2,1
0,6,1683,1,1,0.0,0,1,4,1
13,4,3373,1,1,0.0,0,0,5,1
1,6,829,1,1,0.0,0,0,2,1
6,5,519,1,1,0.0,0,1,5,1
3,3,1128,1,1,0.0,0,0,4,2
3,4,733,1,1,0.0,0,0,5,1
22,1,2189,1,1,0.0,0,1,2,1
18,4,2731,1,1,0.0,0,1,4,1
1,1,515,1,1,0.0,0,0,4,1
5,6,1978,1,1,0.0,0,1,2,1
18,5,2058,1,1,1.0,0,1,2,2
11,5,2311,1,1,0.0,0,1,4,2
12,6,739,1,1,0.0,0,1,5,1
6,2,1111,1,1,0.0,0,1,5,2
5,2,2903,1,1,0.0,0,1,4,1
22,4,2895,1,1,0.0,0,0,5,2
13,2,2945,1,1,0.0,0,1,5,2
0,4,67867,1,1,0.0,0,0,4,0
5,5,1229,1,1,0.0,0,1,5,2
12,4,678,1,1,0.0,0,1,2,2
10,0,2036,1,1,0.0,0,1,4,1
1,2,2954,1,1,0.0,0,0,2,1
5,2,3357,1,1,0.0,0,1,2,2
23,1,139068,1,1,0.0,0,0,6,4
20,2,2770,1,1,1.0,0,1,4,2
22,1,665,1,1,0.0,0,1,4,1
4,3,1244,1,1,0.0,0,1,4,1
12,2,1744,1,1,0.0,0,1,4,2
10,1,3235,1,1,0.0,0,1,4,2
21,3,1324,1,1,0.0,0,1,4,2
8,0,2495,1,1,0.0,0,0,5,1
9,1,2187,1,1,0.0,0,1,5,2
15,4,3501,1,1,0.0,0,0,4,1
4,4,841,1,1,0.0,0,1,4,2
3,2,645,1,1,0.0,0,0,2,1
12,1,712,1,1,0.0,0,0,5,2
20,3,3593,1,1,0.0,0,1,2,2
18,5,2327,1,1,0.0,0,1,4,2
16,0,2737,1,1,0.0,0,0,4,2
2,6,3414,1,1,0.0,0,1,5,2
1,5,2267,1,1,0.0,0,1,4,2
23,6,3102,1,1,0.0,0,1,2,1
11,1,649,1,1,0.0,0,1,5,1
14,6,2394,1,1,0.0,0,1,4,2
16,4,2825,1,1,0.0,0,1,5,2
3,2,2085,1,1,0.0,0,1,2,2
13,0,1077,1,1,1.0,0,1,4,1
11,4,1231,1,1,0.0,0,1,5,1
14,4,2110,1,1,0.0,0,1,4,2
5,3,606,1,1,0.0,0,0,2,2
18,4,1397,1,1,0.0,0,0,5,2
20,0,1795,1,1,1.0,0,1,4,2
16,6,188,1,1,0.0,0,0,1,3
10,1,1068,1,1,1.0,0,1,5,1
22,4,3594,1,1,0.0,0,1,4,2
17,4,2686,1,1,0.0,0,1,5,1
2,3,2119,1,1,0.0,0,1,4,2
21,5,1441,1,1,0.0,0,0,5,1
10,5,899,1,1,0.0,0,1,2,2
2,4,947,1,1,0.0,0,0,4,2
7,4,2087,1,1,0.0,0,1,4,1
2,5,885,1,1,0.0,0,1,5,1
10,3,337,1,1,1.0,0,1,5,1
15,3,2110,1,1,0.0,0,1,4,2
2,3,3396,1,1,0.0,0,1,5,1
12,2,1612,1,1,0.0,0,0,5,1
4,2,2179,1,1,0.0,0,0,2,1
9,2,1999,1,1,0.0,0,1,4,1
10,6,1288,1,1,0.0,0,0,4,2
22,2,827,1,1,0.0,0,0,4,2
23,6,3181,1,1,0.0,0,1,2,1
17,4,855,1,1,1.0,0,1,2,2
16,3,1703,1,1,0.0,0,1,4,2
5,1,3363,1,1,0.0,0,1,4,2
10,0,3307,1,1,0.0,0,0,2,1
3,2,2337,1,1,0.0,0,1,2,1
12,3,2421,1,1,0.0,0,1,4,2
17,0,2926,1,1,0.0,0,1,2,1
23,6,3032,1,1,0.0,0,1,4,2
22,5,2776,1,1,0.0,0,0,5,1
18,1,2254,1,1,0.0,0,0,2,2
10,6,3624,1,1,0.0,0,0,5,1
5,6,1543,1,1,0.0,0,1,2,2
13,0,388,1,1,0.0,0,0,4,0
0,6,2943,1,1,0.0,0,1,4,1
17,0,1904,1,1,0.0,0,1,4,2
8,4,2487,1,1,0.0,0,0,2,2
12,3,1871,1,1,0.0,0,0,4,2
0,0,837,1,1,0.0,0,1,5,1
0,1,2285,1,1,0.0,0,0,5,1
21,3,2379,1,1,0.0,0,1,2,2
3,2,3372,1,1,0.0,0,1,2,2
23,0,330,1,1,0.0,0,0,2,1
8,1,3145,1,1,0.0,0,0,2,2
2,4,1693,1,1,0.0,0,1,4,2
22,0,2595,1,1,0.0,0,1,4,1
17,5,2666,1,1,0.0,0,0,5,2
5,2,373,1,1,0.0,0,0,4,4
12,5,1087,1,1,0.0,0,1,4,2
4,6,7,1,1,1.0,0,0,4,1
10,0,2819,1,1,0.0,0,1,5,2
5,1,3423,1,1,0.0,0,1,4,1
5,6,2759,1,1,0.0,0,0,2,2
6,2,2381,1,1,1.0,0,1,4,2
10,5,2416,1,1,0.0,0,1,5,2
23,3,684,1,1,0.0,0,1,4,1
14,5,3117,1,1,0.0,0,1,4,1
14,5,2737,1,1,0.0,0,1,4,1
14,0,3214,1,1,0.0,0,0,4,1
6,1,2032,1,1,0.0,0,0,5,2
16,2,1945,1,1,0.0,0,1,5,2
5,0,2336,1,1,0.0,0,1,4,1
10,6,2898,1,1,0.0,0,1,5,2
19,4,2327,1,1,0.0,0,1,2,1
23,5,1684,1,1,0.0,0,1,5,2
1,4,2454,1,1,0.0,0,1,4,2
8,4,2742,1,1,0.0,0,1,5,2
17,3,3456,1,1,0.0,0,0,4,2
23,2,3293,1,1,0.0,0,0,5,2
23,0,354,1,1,0.0,0,0,1,3
2,2,1303,1,1,0.0,0,0,4,1
21,5,3108,1,1,0.0,0,1,2,1
21,4,1028,1,1,0.0,0,1,4,1
8,0,719,1,1,0.0,0,1,5,2
6,5,1889,1,1,0.0,0,0,4,2
8,6,3453,1,1,0.0,0,0,2,2
12,5,1190,1,1,1.0,0,0,4,2
10,5,2176,1,1,0.0,0,0,2,1
6,6,155,1,1,1.0,0,0,1,3
4,2,3437,1,1,0.0,0,1,2,1
12,5,651,1,1,0.0,0,0,1,0
0,4,1008,1,1,0.0,0,1,2,2
6,5,2534,1,1,0.0,0,1,2,2
16,1,1072,1,1,0.0,0,1,4,1
5,2,144451,1,1,0.0,0,0,6,0
10,2,1689,1,1,0.0,0,0,5,2
6,0,3204,1,1,0.0,0,0,5,1
14,1,2210,1,1,1.0,0,0,5,2
13,2,3425,1,1,0.0,0,1,4,2
5,0,1149,1,1,0.0,0,1,2,1
2,3,445,1,1,0.0,0,0,2,0
5,6,1944,1,1,0.0,0,1,2,1
6,6,3223,1,1,0.0,0,1,5,2
5,2,2006,1,1,0.0,0,0,5,4
22,2,1755,1,1,0.0,0,1,5,2
20,1,2803,1,1,0.0,0,1,2,2
10,0,1805,1,1,0.0,0,1,2,1
0,1,6197,1,1,0.0,0,0,5,1
3,3,1307,1,1,0.0,0,0,5,1
5,1,1056,1,1,0.0,0,0,4,1
0,0,2370,1,1,1.0,0,1,5,1
9,0,433,1,1,0.0,0,1,5,1
6,2,870,1,1,0.0,0,0,2,2
21,6,2375,1,1,0.0,0,1,2,1
20,5,25,1,1,1.0,0,0,4,0
17,4,3462,1,1,0.0,0,0,5,1
6,6,3335,1,1,0.0,0,1,5,1
18,5,1484,1,1,0.0,0,0,5,2
20,0,2978,1,1,0.0,0,1,4,1
4,2,4598,1,1,1.0,0,0,0,3
5,2,2900,1,1,0.0,0,1,5,2
9,4,2731,1,1,0.0,0,1,2,2
4,1,3483,1,1,1.0,0,1,2,2
20,6,1435,1,1,0.0,0,0,2,0
10,6,2392,1,1,0.0,0,1,4,1
18,0,3178,1,1,0.0,0,1,5,1
21,2,657,1,1,0.0,0,1,2,1
6,4,1306,1,1,0.0,0,1,2,1
5,3,17,1,1,1.0,0,0,4,3
1,2,2201,1,1,0.0,0,1,2,2
11,5,632,1,1,0.0,0,1,4,2
13,1,1934,1,1,0.0,0,0,5,2
19,4,942,1,1,0.0,0,1,4,1
11,1,1937,1,1,0.0,0,1,4,1
16,4,713,1,1,0.0,0,0,4,2
6,1,2265,1,1,0.0,0,1,4,2
4,1,1862,1,1,0.0,0,0,2,2
12,2,981,1,1,0.0,0,1,4,2
12,3,2308,1,1,0.0,0,0,2,1
20,5,1899,1,1,0.0,0,0,5,2
2,0,3524,1,1,0.0,0,1,4,1
1,0,482,1,1,0.0,0,1,4,2
6,6,1922,1,1,0.0,0,0,2,1
10,1,1192,1,1,0.0,0,1,4,1
23,5,887,1,1,1.0,0,0,2,1
20,3,3469,1,1,0.0,0,1,2,2
18,3,1479,1,1,0.0,0,1,4,1
7,1,2818,1,1,0.0,0,1,4,2
8,0,2117,1,1,0.0,0,0,4,1
8,0,2870,1,1,1.0,0,1,4,2
1,3,1978,1,1,0.0,0,0,2,1
3,3,1504,1,1,0.0,0,0,5,1
