device_id,device_type,os
DEV00162,Desktop,macOS
DEV00163,Laptop,Windows 11
DEV00164,Laptop,Windows 11
DEV00165,Laptop,Windows 11
DEV00166,Desktop,macOS
DEV00167,Desktop,Windows 11
DEV00168,Laptop,Windows 11
DEV00169,Desktop,Ubuntu
DEV00170,Desktop,macOS
DEV00171,Laptop,Ubuntu
DEV00172,Desktop,macOS
DEV00173,Desktop,Ubuntu
DEV00174,Desktop,Windows 11
DEV00175,Laptop,Ubuntu
DEV00176,Laptop,macOS
DEV00177,Desktop,macOS
DEV00178,Laptop,macOS
DEV00179,Desktop,Ubuntu
DEV00180,Desktop,Windows 11
DEV00181,Laptop,macOS
DEV00182,Desktop,macOS
DEV00183,Desktop,Windows 11
DEV00184,Desktop,macOS
DEV00185,Laptop,Windows 11
DEV00186,Desktop,Ubuntu
DEV00187,Laptop,macOS
DEV00188,Laptop,Windows 11
DEV00189,Desktop,macOS
DEV00190,Laptop,macOS
DEV00191,Desktop,macOS
DEV00192,Laptop,Ubuntu
DEV00193,Laptop,Ubuntu
DEV00194,Desktop,macOS
DEV00195,Desktop,macOS
DEV00196,Desktop,Ubuntu
DEV00197,Desktop,Ubuntu
DEV00198,Desktop,Windows 11
DEV00199,Laptop,macOS
DEV00200,Desktop,macOS
DEV00201,Desktop,Windows 11
DEV00202,Desktop,macOS
DEV00203,Laptop,macOS
DEV00204,Laptop,macOS
DEV00205,Desktop,macOS
DEV00206,Laptop,Ubuntu
DEV00207,Desktop,Windows 11
DEV00208,Laptop,macOS
DEV00209,Laptop,Ubuntu
DEV00210,Desktop,Windows 11
DEV00211,Desktop,Ubuntu
DEV00212,Desktop,Windows 11
DEV00213,Laptop,macOS
DEV00214,Laptop,macOS
DEV00215,Laptop,macOS
DEV00216,Desktop,Ubuntu
DEV00217,Laptop,Ubuntu
DEV00218,Laptop,Ubuntu
DEV00219,Laptop,macOS
DEV00220,Laptop,Ubuntu
DEV00221,Laptop,Windows 11
DEV00222,Laptop,Ubuntu
DEV00223,Desktop,Ubuntu
DEV00224,Laptop,macOS
DEV00225,Desktop,macOS
DEV00226,Laptop,Windows 11
DEV00227,Desktop,Windows 11
DEV00228,Desktop,Windows 11
DEV00229,Laptop,Windows 11
DEV00230,Desktop,Ubuntu
DEV00231,Desktop,Ubuntu
DEV00232,Desktop,macOS
DEV00233,Laptop,Ubuntu
DEV00234,Desktop,Ubuntu
DEV00235,Desktop,Windows 11
DEV00236,Desktop,Windows 11
DEV00237,Desktop,Ubuntu
DEV00238,Desktop,macOS
DEV00239,Desktop,macOS
DEV00240,Laptop,Windows 11
DEV00241,Desktop,Ubuntu
DEV00242,Desktop,Ubuntu
DEV00243,Desktop,Ubuntu
DEV00244,Laptop,Ubuntu
DEV00245,Desktop,Ubuntu
DEV00246,Laptop,macOS
DEV00247,Laptop,macOS
DEV00248,Desktop,macOS
DEV00249,Laptop,Ubuntu
DEV00250,Laptop,macOS
DEV00251,Laptop,Windows 11
DEV00252,Laptop,Ubuntu
DEV00253,Laptop,macOS
DEV00254,Laptop,macOS
DEV00255,Desktop,Ubuntu
DEV00256,Laptop,macOS
DEV00257,Desktop,Ubuntu
DEV00258,Laptop,Windows 11
DEV00259,Laptop,macOS
DEV00260,Laptop,Windows 11
DEV00261,Laptop,macOS
DEV00262,Laptop,macOS
DEV00263,Laptop,Windows 11
DEV00264,Laptop,Ubuntu
DEV00265,Laptop,Windows 11
DEV00266,Laptop,Ubuntu
DEV00267,Desktop,Ubuntu
DEV00268,Laptop,macOS
DEV00269,Desktop,Ubuntu
DEV00270,Desktop,macOS
DEV00271,Desktop,Ubuntu
DEV00272,Laptop,Windows 11
DEV00273,Desktop,Windows 11
DEV00274,Desktop,Ubuntu
DEV00275,Desktop,Windows 11
DEV00276,Desktop,Ubuntu
DEV00277,Laptop,Ubuntu
DEV00278,Laptop,Ubuntu
DEV00279,Laptop,macOS
DEV00280,Desktop,Windows 11
DEV00281,Desktop,Windows 11
DEV00282,Laptop,macOS
DEV00283,Desktop,Windows 11
DEV00284,Laptop,Ubuntu
DEV00285,Desktop,Windows 11
DEV00286,Laptop,Windows 11
DEV00287,Laptop,macOS
DEV00288,Desktop,Ubuntu
DEV00289,Laptop,Ubuntu
DEV00290,Laptop,macOS
DEV00291,Laptop,Windows 11
DEV00292,Desktop,Ubuntu
DEV00293,Laptop,macOS
DEV00294,Desktop,Ubuntu
DEV00295,Laptop,macOS
DEV00296,Desktop,Ubuntu
DEV00297,Desktop,Ubuntu
DEV00298,Laptop,macOS
DEV00299,Laptop,Windows 11
DEV00300,Desktop,macOS
DEV00301,Desktop,Windows 11
DEV00302,Desktop,Ubuntu
DEV00303,Desktop,Ubuntu
DEV00304,Laptop,macOS
DEV00305,Laptop,Ubuntu
DEV00306,Desktop,Windows 11
DEV00307,Desktop,Ubuntu
DEV00308,Laptop,Windows 11
DEV00309,Laptop,Ubuntu
DEV00310,Laptop,Ubuntu
DEV00311,Desktop,Windows 11
DEV00312,Desktop,Ubuntu
DEV00313,Laptop,macOS
DEV00314,Desktop,macOS
DEV00315,Laptop,Windows 11
DEV00316,Laptop,Windows 11
DEV00317,Laptop,macOS
DEV00318,Laptop,Ubuntu
DEV00319,Desktop,Windows 11
DEV00320,Desktop,Ubuntu
DEV00321,Desktop,Windows 11
DEV00322,Laptop,Ubuntu
DEV00323,Laptop,Ubuntu
DEV00324,Laptop,Ubuntu
DEV00325,Laptop,Windows 11
DEV00326,Desktop,macOS
DEV00327,Laptop,macOS
DEV00328,Laptop,Windows 11
DEV00329,Laptop,macOS
DEV00330,Laptop,Ubuntu
DEV00331,Laptop,Ubuntu
DEV00332,Laptop,Windows 11
DEV00333,Laptop,Windows 11
DEV00334,Laptop,macOS
DEV00335,Laptop,Ubuntu
DEV00336,Laptop,Ubuntu
DEV00337,Laptop,macOS
DEV00338,Laptop,Windows 11
DEV00339,Laptop,Ubuntu
DEV00340,Laptop,Windows 11
DEV00341,Laptop,Ubuntu
DEV00342,Desktop,macOS
DEV00343,Desktop,Ubuntu
DEV00344,Laptop,macOS
DEV00345,Laptop,Ubuntu
DEV00346,Laptop,Windows 11
DEV00347,Laptop,Ubuntu
DEV00348,Laptop,Windows 11
DEV00349,Desktop,Windows 11
DEV00350,Desktop,Windows 11
DEV00351,Desktop,macOS
DEV00352,Laptop,Ubuntu
DEV00353,Laptop,macOS
DEV00354,Laptop,Windows 11
DEV00355,Laptop,macOS
DEV00356,Desktop,Windows 11
DEV00357,Laptop,Ubuntu
DEV00358,Laptop,Windows 11
DEV00359,Laptop,Windows 11
DEV00360,Laptop,macOS
DEV00361,Desktop,Ubuntu
DEV00362,Desktop,macOS
DEV00363,Laptop,Windows 11
DEV00364,Laptop,macOS
DEV00365,Desktop,macOS
DEV00366,Desktop,Ubuntu
DEV00367,Laptop,Windows 11
DEV00368,Laptop,macOS
DEV00369,Laptop,macOS
DEV00370,Desktop,macOS
DEV00371,Laptop,macOS
DEV00372,Desktop,Ubuntu
DEV00373,Desktop,Windows 11
DEV00374,Laptop,Windows 11
DEV00375,Laptop,macOS
DEV00376,Laptop,macOS
DEV00377,Desktop,macOS
DEV00378,Laptop,Ubuntu
DEV00379,Laptop,Ubuntu
DEV00380,Laptop,Windows 11
DEV00381,Laptop,Windows 11
DEV00382,Desktop,Ubuntu
DEV00383,Laptop,Windows 11
DEV00384,Laptop,Windows 11
DEV00385,Desktop,Ubuntu
DEV00386,Laptop,Ubuntu
DEV00387,Desktop,Ubuntu
DEV00388,Desktop,Windows 11
DEV00389,Laptop,macOS
DEV00390,Laptop,macOS
DEV00391,Laptop,Windows 11
DEV00392,Laptop,Ubuntu
DEV00393,Laptop,Windows 11
DEV00394,Laptop,macOS
DEV00395,Desktop,macOS
DEV00396,Desktop,Ubuntu
DEV00397,Laptop,macOS
DEV00398,Desktop,Windows 11
DEV00399,Laptop,Ubuntu
DEV00400,Laptop,Windows 11
DEV00401,Laptop,macOS
DEV00402,Desktop,Windows 11
DEV00403,Desktop,Windows 11
DEV00404,Laptop,Ubuntu
DEV00405,Desktop,Windows 11
DEV00406,Desktop,Windows 11
DEV00407,Laptop,macOS
DEV00408,Desktop,Windows 11
DEV00409,Desktop,Ubuntu
DEV00410,Laptop,Ubuntu
DEV00411,Laptop,macOS
DEV00412,Desktop,Ubuntu
DEV00413,Laptop,Ubuntu
DEV00414,Laptop,Windows 11
DEV00415,Laptop,Ubuntu
DEV00416,Laptop,Windows 11
DEV00417,Desktop,Ubuntu
DEV00418,Desktop,Windows 11
DEV00419,Desktop,Windows 11
DEV00420,Desktop,macOS
DEV00421,Laptop,macOS
DEV00422,Laptop,macOS
DEV00423,Laptop,Windows 11
DEV00424,Desktop,macOS
DEV00425,Desktop,Windows 11
DEV00426,Desktop,Ubuntu
DEV00427,Desktop,Windows 11
DEV00428,Desktop,macOS
DEV00429,Laptop,Windows 11
DEV00430,Desktop,Ubuntu
DEV00431,Laptop,macOS
DEV00432,Laptop,macOS
DEV00433,Laptop,Ubuntu
DEV00434,Laptop,Windows 11
DEV00435,Desktop,macOS
DEV00436,Laptop,Ubuntu
DEV00437,Desktop,Ubuntu
DEV00438,Laptop,Ubuntu
DEV00439,Desktop,Windows 11
DEV00440,Laptop,macOS
DEV00441,Laptop,macOS
DEV00442,Desktop,Windows 11
DEV00443,Laptop,Ubuntu
DEV00444,Desktop,Windows 11
DEV00445,Laptop,Windows 11
DEV00446,Desktop,macOS
DEV00447,Desktop,Windows 11
DEV00448,Desktop,macOS
DEV00449,Laptop,Ubuntu
DEV00450,Desktop,Windows 11
DEV00451,Desktop,Windows 11
DEV00452,Desktop,macOS
DEV00453,Desktop,macOS
DEV00454,Laptop,macOS
DEV00455,Laptop,Ubuntu
DEV00456,Desktop,macOS
DEV00457,Laptop,Ubuntu
DEV00458,Desktop,Ubuntu
DEV00459,Laptop,macOS
DEV00460,Laptop,macOS
DEV00461,Desktop,macOS
DEV00462,Laptop,macOS
DEV00463,Desktop,Windows 11
DEV00464,Laptop,Ubuntu
DEV00465,Desktop,Ubuntu
DEV00466,Laptop,Ubuntu
DEV00467,Desktop,Windows 11
DEV00468,Laptop,macOS
DEV00469,Laptop,Windows 11
DEV00470,Desktop,Windows 11
DEV00471,Laptop,macOS
DEV00472,Desktop,macOS
DEV00473,Laptop,macOS
DEV00474,Laptop,Ubuntu
DEV00475,Desktop,Ubuntu
DEV00476,Desktop,Ubuntu
DEV00477,Laptop,Windows 11
DEV00478,Desktop,Ubuntu
DEV00479,Desktop,Ubuntu
DEV00480,Laptop,Ubuntu
DEV00481,Desktop,Ubuntu
DEV00482,Desktop,macOS
DEV00483,Laptop,Windows 11
DEV00484,Desktop,Windows 11
DEV00485,Laptop,Ubuntu
DEV00486,Laptop,Ubuntu
DEV00487,Laptop,Windows 11
DEV00488,Laptop,Ubuntu
DEV00489,Laptop,macOS
DEV00490,Laptop,Ubuntu
DEV00491,Laptop,Windows 11
DEV00492,Laptop,Ubuntu
DEV00493,Desktop,macOS
DEV00494,Laptop,Ubuntu
DEV00495,Desktop,Ubuntu
DEV00496,Desktop,macOS
DEV00497,Laptop,Ubuntu
DEV00498,Laptop,Windows 11
DEV00499,Laptop,Windows 11
DEV00500,Desktop,Ubuntu
DEV00501,Desktop,macOS
DEV00502,Desktop,Ubuntu
DEV00503,Desktop,Ubuntu
DEV00504,Desktop,macOS
DEV00505,Laptop,Ubuntu
DEV00506,Laptop,Ubuntu
DEV00507,Laptop,Ubuntu
DEV00508,Desktop,Ubuntu
DEV00509,Laptop,Windows 11
DEV00510,Desktop,Ubuntu
DEV00511,Desktop,Windows 11
DEV00512,Laptop,macOS
DEV00513,Desktop,Windows 11
DEV00514,Laptop,macOS
DEV00515,Laptop,Windows 11
DEV00516,Laptop,Windows 11
DEV00517,Laptop,Ubuntu
DEV00518,Laptop,Ubuntu
DEV00519,Desktop,Ubuntu
DEV00520,Laptop,Windows 11
DEV00521,Laptop,macOS
DEV00522,Desktop,Ubuntu
DEV00523,Laptop,Ubuntu
DEV00524,Desktop,macOS
DEV00525,Laptop,macOS
DEV00526,Desktop,Windows 11
DEV00527,Laptop,Ubuntu
DEV00528,Desktop,Windows 11
DEV00529,Desktop,Ubuntu
DEV00530,Laptop,Windows 11
DEV00531,Desktop,macOS
DEV00532,Desktop,Ubuntu
DEV00533,Desktop,macOS
DEV00534,Laptop,macOS
DEV00535,Desktop,Ubuntu
DEV00536,Laptop,macOS
DEV00537,Desktop,Windows 11
DEV00538,Laptop,macOS
DEV00539,Laptop,Ubuntu
DEV00540,Laptop,Ubuntu
DEV00541,Laptop,Ubuntu
DEV00542,Desktop,Windows 11
DEV00543,Desktop,Windows 11
DEV00544,Laptop,macOS
DEV00545,Laptop,Ubuntu
DEV00546,Laptop,Windows 11
DEV00547,Laptop,macOS
DEV00548,Desktop,macOS
DEV00549,Laptop,macOS
DEV00550,Desktop,Windows 11
DEV00551,Desktop,Ubuntu
DEV00552,Laptop,macOS
DEV00553,Desktop,Ubuntu
DEV00554,Laptop,macOS
DEV00555,Desktop,Ubuntu
DEV00556,Desktop,Ubuntu
DEV00557,Laptop,Ubuntu
DEV00558,Desktop,Ubuntu
DEV00559,Desktop,Ubuntu
DEV00560,Laptop,Windows 11
DEV00561,Desktop,macOS
DEV00562,Desktop,Ubuntu
DEV00563,Desktop,Windows 11
DEV00564,Desktop,macOS
DEV00565,Desktop,Windows 11
DEV00566,Laptop,Windows 11
DEV00567,Laptop,Ubuntu
DEV00568,Desktop,macOS
DEV00569,Desktop,Windows 11
DEV00570,Desktop,Windows 11
DEV00571,Laptop,Ubuntu
DEV00572,Desktop,Ubuntu
DEV00573,Laptop,macOS
DEV00574,Desktop,macOS
DEV00575,Laptop,Windows 11
DEV00576,Laptop,Ubuntu
DEV00577,Desktop,macOS
DEV00578,Desktop,Windows 11
DEV00579,Desktop,macOS
DEV00580,Desktop,Ubuntu
DEV00581,Desktop,Windows 11
DEV00582,Laptop,Windows 11
DEV00583,Laptop,Ubuntu
DEV00584,Desktop,macOS
DEV00585,Desktop,Windows 11
DEV00586,Desktop,Ubuntu
DEV00587,Laptop,Ubuntu
DEV00588,Laptop,Windows 11
DEV00589,Laptop,Ubuntu
DEV00590,Desktop,Windows 11
DEV00591,Desktop,macOS
DEV00592,Desktop,macOS
DEV00593,Desktop,Ubuntu
DEV00594,Desktop,macOS
DEV00595,Laptop,Ubuntu
DEV00596,Laptop,Ubuntu
DEV00597,Laptop,macOS
DEV00598,Laptop,Windows 11
DEV00599,Desktop,Ubuntu
DEV00600,Laptop,Ubuntu
DEV00601,Laptop,Windows 11
DEV00602,Desktop,Ubuntu
DEV00603,Desktop,macOS
DEV00604,Desktop,Windows 11
DEV00605,Desktop,Ubuntu
DEV00606,Laptop,macOS
DEV00607,Laptop,macOS
DEV00608,Laptop,Windows 11
DEV00609,Laptop,macOS
DEV00610,Desktop,Ubuntu
DEV00611,Desktop,Ubuntu
DEV00612,Desktop,Windows 11
DEV00613,Desktop,Windows 11
DEV00614,Laptop,Windows 11
DEV00615,Desktop,Ubuntu
DEV00616,Desktop,Ubuntu
DEV00617,Desktop,Windows 11
DEV00618,Laptop,Windows 11
DEV00619,Laptop,macOS
DEV00620,Laptop,Windows 11
DEV00621,Laptop,Ubuntu
DEV00622,Desktop,Windows 11
DEV00623,Laptop,Windows 11
DEV00624,Laptop,Ubuntu
DEV00625,Desktop,Ubuntu
DEV00626,Desktop,Windows 11
DEV00627,Desktop,macOS
DEV00628,Desktop,Windows 11
DEV00629,Desktop,Windows 11
DEV00630,Laptop,Windows 11
DEV00631,Laptop,macOS
DEV00632,Laptop,macOS
DEV00633,Laptop,Ubuntu
DEV00634,Laptop,Windows 11
DEV00635,Laptop,Windows 11
DEV00636,Desktop,macOS
DEV00637,Laptop,Windows 11
DEV00638,Laptop,Ubuntu
DEV00639,Desktop,Windows 11
DEV00640,Laptop,Windows 11
DEV00641,Laptop,macOS
DEV00642,Laptop,Ubuntu
DEV00643,Laptop,Ubuntu
DEV00644,Laptop,Windows 11
DEV00645,Desktop,macOS
DEV00646,Laptop,Windows 11
DEV00647,Laptop,macOS
DEV00648,Laptop,macOS
DEV00649,Laptop,Windows 11
DEV00650,Desktop,Windows 11
DEV00651,Laptop,Windows 11
DEV00652,Desktop,macOS
DEV00653,Desktop,Ubuntu
DEV00654,Laptop,macOS
DEV00655,Laptop,macOS
DEV00656,Laptop,Windows 11
DEV00657,Laptop,macOS
DEV00658,Laptop,macOS
DEV00659,Laptop,Ubuntu
DEV00660,Laptop,macOS
DEV00661,Laptop,macOS
DEV00662,Laptop,Windows 11
DEV00663,Desktop,Ubuntu
DEV00664,Laptop,Ubuntu
DEV00665,Laptop,Windows 11
DEV00666,Desktop,Ubuntu
DEV00667,Desktop,Windows 11
DEV00668,Laptop,Ubuntu
DEV00669,Laptop,Ubuntu
DEV00670,Laptop,Ubuntu
DEV00671,Laptop,macOS
DEV00672,Laptop,Ubuntu
DEV00673,Desktop,macOS
DEV00674,Desktop,macOS
DEV00675,Laptop,Windows 11
DEV00676,Desktop,Ubuntu
DEV00677,Laptop,Ubuntu
DEV00678,Desktop,Ubuntu
DEV00679,Desktop,macOS
DEV00680,Desktop,Windows 11
DEV00681,Desktop,Ubuntu
DEV00682,Desktop,Windows 11
DEV00683,Laptop,Ubuntu
DEV00684,Desktop,Windows 11
DEV00685,Laptop,macOS
DEV00686,Desktop,macOS
DEV00687,Laptop,Ubuntu
DEV00688,Desktop,macOS
DEV00689,Laptop,Windows 11
DEV00690,Laptop,Ubuntu
DEV00691,Desktop,macOS
DEV00692,Laptop,macOS
DEV00693,Laptop,Windows 11
DEV00694,Desktop,Windows 11
DEV00695,Desktop,Windows 11
DEV00696,Desktop,Windows 11
DEV00697,Laptop,Ubuntu
DEV00698,Desktop,Ubuntu
DEV00699,Desktop,macOS
DEV00700,Desktop,Ubuntu
DEV00701,Desktop,macOS
DEV00702,Desktop,Ubuntu
DEV00703,Desktop,Windows 11
DEV00704,Desktop,Windows 11
DEV00705,Laptop,Ubuntu
DEV00706,Desktop,Ubuntu
DEV00707,Laptop,macOS
DEV00708,Laptop,Windows 11
DEV00709,Laptop,macOS
DEV00710,Laptop,Windows 11
DEV00711,Desktop,macOS
DEV00712,Laptop,Windows 11
DEV00713,Desktop,macOS
DEV00714,Desktop,Windows 11
DEV00715,Desktop,macOS
DEV00716,Laptop,Windows 11
DEV00717,Desktop,Ubuntu
DEV00718,Laptop,Ubuntu
DEV00719,Desktop,Ubuntu
DEV00720,Desktop,macOS
DEV00721,Desktop,macOS
DEV00722,Laptop,Windows 11
DEV00723,Desktop,Windows 11
DEV00724,Desktop,Ubuntu
DEV00725,Desktop,Ubuntu
DEV00726,Desktop,Ubuntu
DEV00727,Laptop,Windows 11
DEV00728,Laptop,macOS
DEV00729,Desktop,macOS
DEV00730,Laptop,Ubuntu
DEV00731,Desktop,Windows 11
DEV00732,Desktop,macOS
DEV00733,Desktop,Ubuntu
DEV00734,Laptop,macOS
DEV00735,Desktop,macOS
DEV00736,Desktop,Ubuntu
DEV00737,Laptop,macOS
DEV00738,Laptop,Ubuntu
DEV00739,Desktop,Ubuntu
DEV00740,Desktop,macOS
DEV00741,Desktop,Ubuntu
DEV00742,Desktop,Windows 11
DEV00743,Laptop,macOS
DEV00744,Laptop,Windows 11
DEV00745,Desktop,Ubuntu
DEV00746,Laptop,macOS
DEV00747,Desktop,Ubuntu
DEV00748,Laptop,Ubuntu
DEV00749,Desktop,Ubuntu
DEV00750,Desktop,Ubuntu
DEV00751,Laptop,macOS
DEV00752,Laptop,Windows 11
DEV00753,Laptop,macOS
DEV00754,Desktop,macOS
DEV00755,Laptop,macOS
DEV00756,Laptop,Ubuntu
DEV00757,Laptop,Ubuntu
DEV00758,Laptop,Windows 11
DEV00759,Desktop,Windows 11
DEV00760,Desktop,macOS
DEV00761,Desktop,macOS
DEV00762,Desktop,Ubuntu
DEV00763,Laptop,macOS
DEV00764,Desktop,macOS
DEV00765,Laptop,Ubuntu
DEV00766,Desktop,macOS
DEV00767,Desktop,Ubuntu
DEV00768,Laptop,Ubuntu
DEV00769,Laptop,macOS
DEV00770,Laptop,Ubuntu
DEV00771,Desktop,macOS
DEV00772,Desktop,Windows 11
DEV00773,Desktop,Ubuntu
DEV00774,Desktop,Windows 11
DEV00775,Desktop,macOS
DEV00776,Laptop,macOS
DEV00777,Laptop,Ubuntu
DEV00778,Desktop,Windows 11
DEV00779,Desktop,macOS
DEV00780,Desktop,Windows 11
DEV00781,Laptop,macOS
DEV00782,Laptop,macOS
DEV00783,Desktop,Ubuntu
DEV00784,Laptop,macOS
DEV00785,Desktop,Ubuntu
DEV00786,Laptop,Ubuntu
DEV00787,Laptop,macOS
DEV00788,Desktop,macOS
DEV00789,Desktop,Ubuntu
DEV00790,Desktop,Windows 11
DEV00791,Desktop,Ubuntu
DEV00792,Desktop,macOS
DEV00793,Desktop,macOS
DEV00794,Laptop,Windows 11
DEV00795,Laptop,macOS
DEV00796,Desktop,Windows 11
DEV00797,Desktop,Ubuntu
DEV00798,Desktop,macOS
DEV00799,Laptop,macOS
DEV00800,Laptop,Ubuntu
DEV00801,Desktop,Windows 11
DEV00802,Laptop,Windows 11
DEV00803,Desktop,Ubuntu
DEV00804,Desktop,Ubuntu
DEV00805,Laptop,macOS
DEV00806,Laptop,Ubuntu
DEV00807,Desktop,Ubuntu
DEV00808,Laptop,Ubuntu
DEV00809,Laptop,Ubuntu
DEV00810,Laptop,Windows 11
DEV00811,Laptop,Windows 11
DEV00812,Laptop,Windows 11
DEV00813,Desktop,Ubuntu
DEV00814,Desktop,macOS
DEV00815,Desktop,Ubuntu
DEV00816,Laptop,Windows 11
DEV00817,Laptop,Ubuntu
DEV00818,Laptop,Windows 11
DEV00819,Desktop,Ubuntu
DEV00820,Laptop,macOS
DEV00821,Laptop,macOS
DEV00822,Desktop,Windows 11
DEV00823,Laptop,Windows 11
DEV00824,Desktop,macOS
DEV00825,Desktop,Windows 11
DEV00826,Desktop,Ubuntu
DEV00827,Laptop,Ubuntu
DEV00828,Laptop,Windows 11
DEV00829,Laptop,macOS
DEV00830,Laptop,macOS
DEV00831,Desktop,Ubuntu
DEV00832,Laptop,Windows 11
DEV00833,Laptop,Ubuntu
DEV00834,Desktop,macOS
