user_id,username,department,role,city,country,lat,lon,preferred_browser,preferred_os,preferred_start,preferred_end
U00022,perezantonio,HR,Intern,Mumbai,India,19.07,72.87,Edge,Ubuntu,7,15
U00023,richard13,Sales,Manager,Chennai,India,13.08,80.27,Chrome,macOS,9,17
U00024,jason76,Finance,Analyst,Mumbai,India,19.07,72.87,Edge,macOS,8,16
U00025,ithomas,Sales,Analyst,Delhi,India,28.61,77.2,Safari,Windows 11,7,15
U00026,julieryan,HR,Manager,Chennai,India,13.08,80.27,Chrome,Windows 11,9,17
U00027,zhurst,Engineering,Intern,Delhi,India,28.61,77.2,Chrome,macOS,7,15
U00028,jeffrey28,Marketing,Intern,Bengaluru,India,12.97,77.59,Edge,Ubuntu,8,16
U00029,ddavis,Finance,Admin,Delhi,India,28.61,77.2,Edge,macOS,10,18
U00030,hernandezernest,Marketing,Analyst,Mumbai,India,19.07,72.87,Safari,macOS,10,18
U00031,ycarlson,Finance,Manager,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,7,15
U00032,dcarlson,Sales,Manager,Chennai,India,13.08,80.27,Chrome,Windows 11,8,16
U00033,tasha01,Engineering,Engineer,Chennai,India,13.08,80.27,Firefox,Windows 11,8,16
U00034,kayla51,HR,Intern,Delhi,India,28.61,77.2,Edge,macOS,8,16
U00035,ryan70,Finance,Intern,Bengaluru,India,12.97,77.59,Safari,Windows 11,10,18
U00036,teresa28,Marketing,Intern,Chennai,India,13.08,80.27,Firefox,Ubuntu,7,15
U00037,harrellkenneth,Marketing,Engineer,Hyderabad,India,17.38,78.48,Chrome,Windows 11,10,18
U00038,ericfarmer,Engineering,Manager,Hyderabad,India,17.38,78.48,Edge,Windows 11,9,17
U00039,georgetracy,Finance,Intern,Delhi,India,28.61,77.2,Edge,Ubuntu,10,18
U00040,hickmannatasha,Engineering,Intern,Hyderabad,India,17.38,78.48,Chrome,Windows 11,8,16
U00041,john39,Engineering,Manager,Delhi,India,28.61,77.2,Edge,Ubuntu,7,15
U00042,millertodd,Finance,Intern,Hyderabad,India,17.38,78.48,Chrome,Windows 11,10,18
U00043,spenceamanda,IT,Analyst,Hyderabad,India,17.38,78.48,Safari,Ubuntu,7,15
U00044,davidalvarez,Finance,Manager,Hyderabad,India,17.38,78.48,Firefox,Windows 11,10,18
U00045,josephbrennan,Marketing,Analyst,Chennai,India,13.08,80.27,Chrome,Windows 11,7,15
U00046,ibrandt,Sales,Admin,Delhi,India,28.61,77.2,Edge,Windows 11,10,18
U00047,jenniferross,Finance,Engineer,Delhi,India,28.61,77.2,Chrome,macOS,7,15
U00048,samuel87,Engineering,Admin,Bengaluru,India,12.97,77.59,Edge,macOS,10,18
U00049,wrightcaleb,Sales,Engineer,Delhi,India,28.61,77.2,Safari,macOS,7,15
U00050,chapmanjerry,HR,Manager,Delhi,India,28.61,77.2,Firefox,Windows 11,9,17
U00051,adrianzimmerman,Finance,Analyst,Mumbai,India,19.07,72.87,Safari,Ubuntu,10,18
U00052,perezrebecca,IT,Admin,Chennai,India,13.08,80.27,Chrome,Windows 11,7,15
U00053,chad34,Sales,Analyst,Delhi,India,28.61,77.2,Edge,Ubuntu,8,16
U00054,ilewis,HR,Analyst,Chennai,India,13.08,80.27,Edge,Ubuntu,8,16
U00055,esanchez,Sales,Admin,Delhi,India,28.61,77.2,Chrome,macOS,9,17
U00056,glee,Marketing,Engineer,Delhi,India,28.61,77.2,Edge,Ubuntu,9,17
U00057,agomez,Marketing,Admin,Chennai,India,13.08,80.27,Edge,Ubuntu,7,15
U00058,dshields,Marketing,Analyst,Mumbai,India,19.07,72.87,Edge,macOS,8,16
U00059,brownjessica,HR,Engineer,Mumbai,India,19.07,72.87,Chrome,macOS,10,18
U00060,wrightjames,Engineering,Engineer,Hyderabad,India,17.38,78.48,Firefox,Windows 11,9,17
U00061,ltaylor,Marketing,Intern,Mumbai,India,19.07,72.87,Safari,macOS,8,16
U00062,steven17,Engineering,Manager,Chennai,India,13.08,80.27,Chrome,Ubuntu,7,15
U00063,williamsyvette,IT,Manager,Delhi,India,28.61,77.2,Chrome,Ubuntu,8,16
U00064,novaksara,HR,Manager,Mumbai,India,19.07,72.87,Edge,macOS,7,15
U00065,gabrieltucker,Sales,Intern,Chennai,India,13.08,80.27,Edge,Windows 11,9,17
U00066,michellebarrera,IT,Engineer,Bengaluru,India,12.97,77.59,Edge,macOS,8,16
U00067,nicholasgalloway,Marketing,Manager,Mumbai,India,19.07,72.87,Firefox,Windows 11,10,18
U00068,sara74,Engineering,Intern,Chennai,India,13.08,80.27,Edge,Windows 11,10,18
U00069,uhorton,HR,Manager,Hyderabad,India,17.38,78.48,Edge,Windows 11,9,17
U00070,smoore,HR,Analyst,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,10,18
U00071,tanyariley,Marketing,Admin,Mumbai,India,19.07,72.87,Firefox,Windows 11,10,18
U00072,adkinsbrian,Finance,Admin,Chennai,India,13.08,80.27,Firefox,Windows 11,9,17
U00073,hshaw,HR,Analyst,Chennai,India,13.08,80.27,Safari,macOS,10,18
U00074,brianromero,IT,Admin,Delhi,India,28.61,77.2,Edge,Ubuntu,7,15
U00075,caseyjones,Engineering,Admin,Chennai,India,13.08,80.27,Edge,Ubuntu,10,18
U00076,richarddavid,Marketing,Analyst,Hyderabad,India,17.38,78.48,Firefox,macOS,7,15
U00077,bethwilliams,Sales,Analyst,Chennai,India,13.08,80.27,Safari,Ubuntu,9,17
U00078,barnesbrandy,Sales,Manager,Hyderabad,India,17.38,78.48,Edge,Ubuntu,9,17
U00079,sarah35,Sales,Admin,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,8,16
U00080,josephanderson,HR,Analyst,Delhi,India,28.61,77.2,Edge,Ubuntu,7,15
U00081,stephen10,IT,Intern,Delhi,India,28.61,77.2,Safari,macOS,9,17
U00082,khowell,Marketing,Manager,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,10,18
U00083,jonesjason,Engineering,Manager,Delhi,India,28.61,77.2,Firefox,Windows 11,9,17
U00084,david51,Engineering,Engineer,Bengaluru,India,12.97,77.59,Edge,Ubuntu,8,16
U00085,mikemoore,IT,Intern,Delhi,India,28.61,77.2,Edge,macOS,7,15
U00086,cheryl80,IT,Manager,Hyderabad,India,17.38,78.48,Edge,macOS,10,18
U00087,sarah12,IT,Manager,Chennai,India,13.08,80.27,Edge,macOS,7,15
U00088,darrell18,Engineering,Admin,Delhi,India,28.61,77.2,Edge,Windows 11,10,18
U00089,josephjacobs,IT,Admin,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,8,16
U00090,james48,Sales,Intern,Delhi,India,28.61,77.2,Edge,macOS,10,18
U00091,dking,HR,Manager,Hyderabad,India,17.38,78.48,Firefox,macOS,10,18
U00092,waltersmaria,HR,Intern,Hyderabad,India,17.38,78.48,Chrome,macOS,8,16
U00093,smithkellie,HR,Analyst,Mumbai,India,19.07,72.87,Firefox,macOS,8,16
U00094,evan78,Finance,Manager,Chennai,India,13.08,80.27,Safari,macOS,8,16
U00095,hhoffman,Engineering,Intern,Bengaluru,India,12.97,77.59,Safari,Ubuntu,8,16
U00096,landryhannah,IT,Engineer,Delhi,India,28.61,77.2,Edge,Ubuntu,10,18
U00097,amydavenport,Sales,Intern,Hyderabad,India,17.38,78.48,Safari,Windows 11,7,15
U00098,russellwilliams,IT,Intern,Mumbai,India,19.07,72.87,Edge,Ubuntu,9,17
U00099,rachel05,IT,Intern,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,9,17
U00100,evelynestrada,Marketing,Manager,Mumbai,India,19.07,72.87,Safari,Windows 11,10,18
U00101,kimberly69,IT,Admin,Delhi,India,28.61,77.2,Chrome,Windows 11,7,15
U00102,sarayoung,IT,Manager,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,8,16
U00103,theresacochran,Finance,Intern,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,9,17
U00104,vjohnson,IT,Analyst,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,9,17
U00105,kimberly63,HR,Manager,Chennai,India,13.08,80.27,Chrome,macOS,7,15
U00106,erik16,Finance,Manager,Chennai,India,13.08,80.27,Chrome,macOS,7,15
U00107,garrisonjeffrey,Finance,Intern,Bengaluru,India,12.97,77.59,Chrome,macOS,8,16
U00108,ybailey,Marketing,Analyst,Bengaluru,India,12.97,77.59,Firefox,Windows 11,10,18
U00109,jeffreykeller,Finance,Analyst,Delhi,India,28.61,77.2,Chrome,macOS,7,15
U00110,emurphy,Sales,Intern,Chennai,India,13.08,80.27,Safari,macOS,9,17
U00111,michael86,Sales,Manager,Bengaluru,India,12.97,77.59,Chrome,macOS,7,15
U00112,sheila14,Sales,Engineer,Mumbai,India,19.07,72.87,Firefox,macOS,7,15
U00113,beverlyterrell,Engineering,Admin,Hyderabad,India,17.38,78.48,Firefox,Windows 11,9,17
U00114,rodriguezryan,Engineering,Intern,Hyderabad,India,17.38,78.48,Firefox,macOS,10,18
U00115,samuel81,IT,Manager,Hyderabad,India,17.38,78.48,Firefox,macOS,8,16
U00116,mlam,IT,Intern,Delhi,India,28.61,77.2,Firefox,Ubuntu,10,18
U00117,bradley60,HR,Intern,Bengaluru,India,12.97,77.59,Edge,Ubuntu,7,15
U00118,michaeljones,HR,Engineer,Delhi,India,28.61,77.2,Safari,Ubuntu,10,18
U00119,cindy14,Finance,Analyst,Bengaluru,India,12.97,77.59,Firefox,Ubuntu,10,18
U00120,elizabeth56,Sales,Engineer,Mumbai,India,19.07,72.87,Edge,Windows 11,9,17
U00121,angela36,IT,Admin,Bengaluru,India,12.97,77.59,Edge,macOS,10,18
U00122,lbyrd,IT,Engineer,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,10,18
U00123,richard04,Marketing,Manager,Bengaluru,India,12.97,77.59,Firefox,macOS,10,18
U00124,jason99,IT,Admin,Delhi,India,28.61,77.2,Firefox,Ubuntu,9,17
U00125,steven73,HR,Intern,Delhi,India,28.61,77.2,Firefox,Ubuntu,9,17
U00126,yleon,Engineering,Manager,Mumbai,India,19.07,72.87,Firefox,Windows 11,8,16
U00127,donnacampbell,Finance,Manager,Delhi,India,28.61,77.2,Safari,Ubuntu,8,16
U00128,clarence34,Engineering,Manager,Delhi,India,28.61,77.2,Firefox,Windows 11,9,17
U00129,lindsayhernandez,HR,Engineer,Mumbai,India,19.07,72.87,Edge,Ubuntu,8,16
U00130,sanchezthomas,Sales,Analyst,Chennai,India,13.08,80.27,Edge,macOS,7,15
U00131,gibsonolivia,Engineering,Admin,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,7,15
U00132,jennifercruz,HR,Manager,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,10,18
U00133,psanchez,Engineering,Intern,Hyderabad,India,17.38,78.48,Safari,Windows 11,7,15
U00134,staffordmichelle,Finance,Manager,Delhi,India,28.61,77.2,Firefox,Windows 11,7,15
U00135,osbornejeffery,Sales,Intern,Bengaluru,India,12.97,77.59,Edge,macOS,7,15
U00136,pwilliams,IT,Analyst,Hyderabad,India,17.38,78.48,Safari,Ubuntu,10,18
U00137,bryantlaurie,Sales,Engineer,Delhi,India,28.61,77.2,Edge,macOS,7,15
U00138,stephanie79,Marketing,Engineer,Bengaluru,India,12.97,77.59,Edge,Windows 11,9,17
U00139,jrivas,Finance,Engineer,Bengaluru,India,12.97,77.59,Safari,Ubuntu,7,15
U00140,vmerritt,HR,Engineer,Delhi,India,28.61,77.2,Edge,Ubuntu,10,18
U00141,wcole,Engineering,Manager,Mumbai,India,19.07,72.87,Firefox,macOS,10,18
U00142,maryramirez,IT,Engineer,Delhi,India,28.61,77.2,Edge,macOS,8,16
U00143,rsims,Finance,Engineer,Bengaluru,India,12.97,77.59,Chrome,Windows 11,9,17
U00144,sjones,IT,Engineer,Mumbai,India,19.07,72.87,Safari,macOS,9,17
U00145,josephflores,HR,Admin,Mumbai,India,19.07,72.87,Safari,Ubuntu,10,18
U00146,taylorjesse,IT,Analyst,Chennai,India,13.08,80.27,Firefox,Windows 11,7,15
U00147,jasminebrown,Marketing,Admin,Chennai,India,13.08,80.27,Chrome,macOS,8,16
U00148,drivera,Finance,Intern,Mumbai,India,19.07,72.87,Safari,Ubuntu,7,15
U00149,abrown,Marketing,Intern,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,10,18
U00150,lstein,HR,Analyst,Mumbai,India,19.07,72.87,Chrome,Windows 11,10,18
U00151,gateskathy,Marketing,Intern,Mumbai,India,19.07,72.87,Firefox,macOS,10,18
U00152,wwoods,IT,Engineer,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,7,15
U00153,karen68,IT,Admin,Mumbai,India,19.07,72.87,Chrome,macOS,7,15
U00154,tracynelson,IT,Engineer,Delhi,India,28.61,77.2,Edge,macOS,10,18
U00155,vjohnson,Marketing,Intern,Mumbai,India,19.07,72.87,Chrome,Windows 11,10,18
U00156,dramsey,HR,Intern,Mumbai,India,19.07,72.87,Safari,Windows 11,8,16
U00157,tinaferguson,Marketing,Manager,Chennai,India,13.08,80.27,Firefox,macOS,8,16
U00158,qvargas,Engineering,Manager,Chennai,India,13.08,80.27,Chrome,Ubuntu,10,18
U00159,millerroy,IT,Analyst,Chennai,India,13.08,80.27,Firefox,Ubuntu,8,16
U00160,qwhite,Finance,Intern,Hyderabad,India,17.38,78.48,Edge,Ubuntu,10,18
U00161,dmurphy,Engineering,Analyst,Bengaluru,India,12.97,77.59,Safari,Ubuntu,8,16
U00162,matthew64,Engineering,Analyst,Delhi,India,28.61,77.2,Firefox,macOS,9,17
U00163,fking,Finance,Intern,Delhi,India,28.61,77.2,Safari,Ubuntu,10,18
U00164,ismith,IT,Analyst,Mumbai,India,19.07,72.87,Edge,macOS,10,18
U00165,cookemichael,Finance,Intern,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,10,18
U00166,harringtondenise,IT,Manager,Hyderabad,India,17.38,78.48,Safari,Windows 11,10,18
U00167,herringjames,Engineering,Intern,Bengaluru,India,12.97,77.59,Chrome,macOS,9,17
U00168,howelljohn,Marketing,Manager,Hyderabad,India,17.38,78.48,Safari,macOS,7,15
U00169,kcaldwell,IT,Analyst,Bengaluru,India,12.97,77.59,Firefox,macOS,7,15
U00170,stevenscott,HR,Admin,Hyderabad,India,17.38,78.48,Safari,Ubuntu,7,15
U00171,gary91,Sales,Engineer,Hyderabad,India,17.38,78.48,Edge,macOS,7,15
U00172,tamirodriguez,Marketing,Engineer,Mumbai,India,19.07,72.87,Safari,Windows 11,8,16
U00173,hickmanbarbara,Finance,Analyst,Chennai,India,13.08,80.27,Chrome,Windows 11,10,18
U00174,tsanders,HR,Analyst,Mumbai,India,19.07,72.87,Firefox,Ubuntu,7,15
U00175,charlesvaughn,Sales,Intern,Bengaluru,India,12.97,77.59,Edge,Windows 11,8,16
U00176,curtisbarton,Sales,Intern,Bengaluru,India,12.97,77.59,Edge,Ubuntu,7,15
U00177,hoganashlee,Finance,Intern,Delhi,India,28.61,77.2,Firefox,Ubuntu,8,16
U00178,reedross,IT,Analyst,Mumbai,India,19.07,72.87,Edge,Windows 11,7,15
U00179,casey50,Sales,Analyst,Hyderabad,India,17.38,78.48,Safari,macOS,9,17
U00180,gshort,HR,Manager,Mumbai,India,19.07,72.87,Safari,Ubuntu,10,18
U00181,oyu,IT,Admin,Chennai,India,13.08,80.27,Firefox,macOS,8,16
U00182,bzimmerman,Engineering,Intern,Mumbai,India,19.07,72.87,Firefox,Windows 11,9,17
U00183,jessicasheppard,Sales,Intern,Delhi,India,28.61,77.2,Firefox,Windows 11,7,15
U00184,christina87,Finance,Manager,Delhi,India,28.61,77.2,Firefox,macOS,9,17
U00185,ugraham,Marketing,Engineer,Bengaluru,India,12.97,77.59,Firefox,Ubuntu,7,15
U00186,marcus31,Marketing,Manager,Chennai,India,13.08,80.27,Chrome,Ubuntu,9,17
U00187,nicole37,Finance,Manager,Mumbai,India,19.07,72.87,Edge,macOS,10,18
U00188,frogers,Finance,Analyst,Mumbai,India,19.07,72.87,Safari,Ubuntu,9,17
U00189,hunter35,IT,Engineer,Mumbai,India,19.07,72.87,Edge,Windows 11,7,15
U00190,matthew94,Engineering,Intern,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,9,17
U00191,blackjames,IT,Analyst,Delhi,India,28.61,77.2,Firefox,macOS,7,15
U00192,jenniferfreeman,Engineering,Manager,Hyderabad,India,17.38,78.48,Safari,Windows 11,9,17
U00193,hannahbrewer,Sales,Manager,Delhi,India,28.61,77.2,Chrome,macOS,9,17
U00194,bwest,Marketing,Intern,Hyderabad,India,17.38,78.48,Chrome,Windows 11,9,17
U00195,phillipsrichard,HR,Intern,Chennai,India,13.08,80.27,Chrome,Windows 11,7,15
U00196,kevinperkins,IT,Intern,Bengaluru,India,12.97,77.59,Firefox,macOS,8,16
U00197,wtran,Sales,Manager,Delhi,India,28.61,77.2,Safari,macOS,10,18
U00198,jbarajas,Sales,Intern,Chennai,India,13.08,80.27,Firefox,Windows 11,10,18
U00199,michael74,IT,Intern,Mumbai,India,19.07,72.87,Edge,Ubuntu,8,16
U00200,john13,Sales,Analyst,Chennai,India,13.08,80.27,Chrome,Ubuntu,9,17
U00201,david82,Engineering,Intern,Mumbai,India,19.07,72.87,Chrome,macOS,8,16
U00202,javierwashington,Engineering,Analyst,Bengaluru,India,12.97,77.59,Edge,Windows 11,7,15
U00203,tina34,Engineering,Admin,Delhi,India,28.61,77.2,Edge,macOS,8,16
U00204,michaelturner,HR,Manager,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,8,16
U00205,joshuamccann,Sales,Analyst,Bengaluru,India,12.97,77.59,Edge,Windows 11,8,16
U00206,heidi27,Engineering,Analyst,Chennai,India,13.08,80.27,Edge,macOS,8,16
U00207,salasaudrey,Finance,Analyst,Mumbai,India,19.07,72.87,Chrome,Windows 11,7,15
U00208,vmendoza,Marketing,Engineer,Hyderabad,India,17.38,78.48,Safari,Ubuntu,7,15
U00209,tammyking,IT,Admin,Mumbai,India,19.07,72.87,Edge,macOS,7,15
U00210,ewilson,IT,Engineer,Chennai,India,13.08,80.27,Chrome,Ubuntu,9,17
U00211,kvasquez,Marketing,Engineer,Hyderabad,India,17.38,78.48,Safari,macOS,10,18
U00212,hernandezlisa,Engineering,Analyst,Hyderabad,India,17.38,78.48,Edge,Windows 11,7,15
U00213,christopher31,Sales,Admin,Bengaluru,India,12.97,77.59,Firefox,Ubuntu,9,17
U00214,yobrien,IT,Admin,Delhi,India,28.61,77.2,Safari,Windows 11,9,17
U00215,kimberlyjames,IT,Intern,Chennai,India,13.08,80.27,Edge,Ubuntu,8,16
U00216,levans,IT,Intern,Mumbai,India,19.07,72.87,Chrome,Ubuntu,10,18
U00217,ntorres,Marketing,Analyst,Hyderabad,India,17.38,78.48,Firefox,Windows 11,9,17
U00218,lynchjody,Engineering,Engineer,Hyderabad,India,17.38,78.48,Chrome,Ubuntu,7,15
U00219,colleenbaker,Finance,Admin,Chennai,India,13.08,80.27,Chrome,macOS,9,17
U00220,mooreglenn,Marketing,Engineer,Delhi,India,28.61,77.2,Safari,Ubuntu,9,17
U00221,moorericky,HR,Admin,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,7,15
U00222,ocarter,Finance,Intern,Chennai,India,13.08,80.27,Edge,Windows 11,8,16
U00223,jasmine71,Engineering,Analyst,Mumbai,India,19.07,72.87,Edge,Ubuntu,9,17
U00224,sandrafrench,Sales,Analyst,Delhi,India,28.61,77.2,Chrome,Windows 11,7,15
U00225,ronaldstephens,HR,Analyst,Mumbai,India,19.07,72.87,Chrome,Windows 11,9,17
U00226,rebekahserrano,Engineering,Manager,Bengaluru,India,12.97,77.59,Chrome,Windows 11,10,18
U00227,brownlaura,IT,Intern,Delhi,India,28.61,77.2,Safari,Ubuntu,8,16
U00228,scott74,HR,Analyst,Bengaluru,India,12.97,77.59,Chrome,Windows 11,9,17
U00229,gbender,Sales,Engineer,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,8,16
U00230,mkim,IT,Admin,Hyderabad,India,17.38,78.48,Safari,Ubuntu,10,18
U00231,prestonjessica,Sales,Engineer,Mumbai,India,19.07,72.87,Firefox,Ubuntu,8,16
U00232,anthony39,Marketing,Admin,Chennai,India,13.08,80.27,Safari,macOS,9,17
U00233,keyemily,Finance,Intern,Mumbai,India,19.07,72.87,Chrome,Windows 11,7,15
U00234,barbara27,Finance,Manager,Bengaluru,India,12.97,77.59,Firefox,Ubuntu,9,17
U00235,lmoon,Engineering,Intern,Mumbai,India,19.07,72.87,Safari,Windows 11,7,15
U00236,fwalters,Sales,Manager,Bengaluru,India,12.97,77.59,Firefox,Windows 11,10,18
U00237,harrisonricky,IT,Engineer,Hyderabad,India,17.38,78.48,Safari,Windows 11,7,15
U00238,elizabeth25,Sales,Intern,Mumbai,India,19.07,72.87,Safari,Ubuntu,10,18
U00239,ssteele,Engineering,Analyst,Chennai,India,13.08,80.27,Edge,macOS,10,18
U00240,jcervantes,Engineering,Intern,Hyderabad,India,17.38,78.48,Chrome,Windows 11,9,17
U00241,gibsonleonard,Sales,Engineer,Hyderabad,India,17.38,78.48,Safari,Ubuntu,10,18
U00242,darrell68,HR,Manager,Mumbai,India,19.07,72.87,Chrome,macOS,8,16
U00243,sandovalamy,HR,Analyst,Chennai,India,13.08,80.27,Edge,Windows 11,8,16
U00244,hbrown,HR,Manager,Chennai,India,13.08,80.27,Edge,macOS,8,16
U00245,cindy77,Finance,Intern,Bengaluru,India,12.97,77.59,Safari,macOS,7,15
U00246,harrisandrea,Marketing,Admin,Delhi,India,28.61,77.2,Firefox,macOS,10,18
U00247,samuel71,IT,Engineer,Mumbai,India,19.07,72.87,Safari,Ubuntu,8,16
U00248,dudleychelsea,Sales,Engineer,Mumbai,India,19.07,72.87,Firefox,macOS,9,17
U00249,jennifercollins,IT,Intern,Chennai,India,13.08,80.27,Chrome,Windows 11,9,17
U00250,tranchristopher,Engineering,Engineer,Mumbai,India,19.07,72.87,Safari,Ubuntu,9,17
U00251,murraydavid,IT,Admin,Delhi,India,28.61,77.2,Edge,Ubuntu,7,15
U00252,tyronemoran,Sales,Manager,Delhi,India,28.61,77.2,Chrome,Ubuntu,10,18
U00253,robert77,Marketing,Engineer,Chennai,India,13.08,80.27,Edge,Windows 11,9,17
U00254,stephenthomas,IT,Admin,Bengaluru,India,12.97,77.59,Edge,Ubuntu,10,18
U00255,sandraromero,IT,Intern,Mumbai,India,19.07,72.87,Firefox,macOS,9,17
U00256,michellehill,Marketing,Analyst,Delhi,India,28.61,77.2,Chrome,Ubuntu,7,15
U00257,ymorgan,HR,Analyst,Chennai,India,13.08,80.27,Edge,Ubuntu,10,18
U00258,lori44,HR,Analyst,Chennai,India,13.08,80.27,Safari,Windows 11,8,16
U00259,cgrimes,HR,Admin,Delhi,India,28.61,77.2,Safari,macOS,7,15
U00260,jreed,Marketing,Admin,Mumbai,India,19.07,72.87,Chrome,macOS,8,16
U00261,ugibson,Engineering,Analyst,Hyderabad,India,17.38,78.48,Firefox,Windows 11,9,17
U00262,tinaallen,IT,Manager,Bengaluru,India,12.97,77.59,Edge,Windows 11,9,17
U00263,xhall,HR,Engineer,Bengaluru,India,12.97,77.59,Chrome,macOS,7,15
U00264,vwilliams,Sales,Intern,Mumbai,India,19.07,72.87,Edge,Windows 11,8,16
U00265,zthornton,Marketing,Intern,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,8,16
U00266,qhughes,IT,Admin,Mumbai,India,19.07,72.87,Firefox,macOS,8,16
U00267,tylerjohnson,Sales,Manager,Hyderabad,India,17.38,78.48,Firefox,Ubuntu,8,16
U00268,molly71,Marketing,Admin,Bengaluru,India,12.97,77.59,Safari,Ubuntu,9,17
U00269,jsmith,Sales,Admin,Mumbai,India,19.07,72.87,Safari,Windows 11,10,18
U00270,jpitts,HR,Engineer,Bengaluru,India,12.97,77.59,Safari,Ubuntu,8,16
U00271,harrisontanya,Marketing,Admin,Delhi,India,28.61,77.2,Chrome,Ubuntu,7,15
U00272,cindy61,HR,Intern,Chennai,India,13.08,80.27,Edge,Ubuntu,8,16
U00273,melissa86,IT,Analyst,Chennai,India,13.08,80.27,Chrome,Ubuntu,8,16
U00274,courtney78,Sales,Analyst,Chennai,India,13.08,80.27,Edge,Ubuntu,10,18
U00275,williamsonjimmy,Finance,Engineer,Chennai,India,13.08,80.27,Firefox,Windows 11,9,17
U00276,wendy16,Finance,Engineer,Mumbai,India,19.07,72.87,Firefox,Ubuntu,8,16
U00277,hodgesjane,IT,Admin,Bengaluru,India,12.97,77.59,Chrome,Windows 11,10,18
U00278,wallaceheather,Finance,Manager,Chennai,India,13.08,80.27,Safari,Windows 11,9,17
U00279,williamslaura,HR,Engineer,Mumbai,India,19.07,72.87,Chrome,Windows 11,8,16
U00280,michael62,Engineering,Engineer,Hyderabad,India,17.38,78.48,Safari,macOS,10,18
U00281,amandaknight,Marketing,Admin,Delhi,India,28.61,77.2,Edge,macOS,7,15
U00282,georgemiller,IT,Engineer,Bengaluru,India,12.97,77.59,Firefox,Windows 11,9,17
U00283,pharvey,Finance,Engineer,Delhi,India,28.61,77.2,Firefox,Windows 11,10,18
U00284,jdurham,IT,Intern,Delhi,India,28.61,77.2,Chrome,macOS,7,15
U00285,stevenking,HR,Engineer,Hyderabad,India,17.38,78.48,Firefox,Windows 11,9,17
U00286,elizabeth74,Marketing,Engineer,Mumbai,India,19.07,72.87,Firefox,Windows 11,8,16
